date,day,aircraft,helicopter,tank,APC,field_artillery,MRL,drone,naval_ship,anti_aircraft_warfare,special_equipment,vehicles_and_fuel_tanks,cruise_missiles,submarines
2022-11-05,255,277,260,2758,5601,1776,391,1462,16,202,155,4184,399,
2022-11-06,256,277,260,2765,5611,1781,391,1465,16,202,155,4191,399,
2022-11-07,257,277,260,2771,5630,1782,391,1472,16,202,157,4199,399,
2022-11-08,258,278,260,2786,5654,1791,391,1476,16,203,159,4216,399,
2022-11-09,259,278,260,2801,5666,1802,393,1483,16,205,159,4227,399,
2022-11-10,260,278,260,2804,5682,1805,393,1499,16,205,159,4242,399,
2022-11-11,261,278,261,2814,5696,1817,393,1505,16,205,159,4259,399,
2022-11-12,262,278,261,2838,5730,1829,393,1506,16,205,160,4279,399,
2022-11-13,263,278,261,2840,5742,1837,393,1507,16,206,160,4295,399,
2022-11-14,264,278,261,2848,5748,1839,393,1509,16,206,160,4316,399,
2022-11-15,265,278,261,2861,5773,1850,393,1511,16,208,160,4351,399,
2022-11-16,266,278,261,2871,5797,1860,393,1525,16,209,160,4360,474,
2022-11-17,267,278,261,2878,5804,1860,393,1531,16,209,160,4362,474,
2022-11-18,268,278,261,2879,5808,1865,393,1536,16,209,161,4366,480,
2022-11-19,269,278,261,2885,5815,1867,393,1536,16,209,161,4368,480,
2022-11-20,270,278,261,2886,5817,1868,393,1537,16,209,161,4371,480,
2022-11-21,271,278,261,2892,5822,1870,393,1537,16,209,161,4378,480,
2022-11-22,272,278,261,2895,5827,1882,395,1537,16,209,161,4393,480,
2022-11-23,273,278,261,2897,5832,1887,395,1537,16,209,161,4396,480,
2022-11-24,274,278,261,2898,5837,1889,395,1547,16,209,161,4400,531,
2022-11-25,275,278,261,2899,5844,1895,395,1553,16,209,163,4404,531,
2022-11-26,276,278,261,2901,5848,1896,395,1554,16,209,163,4406,531,
2022-11-27,277,278,261,2905,5856,1897,395,1555,16,209,163,4412,531,
2022-11-28,278,278,261,2908,5861,1899,395,1555,16,209,163,4416,531,
2022-11-29,279,280,261,2911,5866,1901,395,1555,16,209,163,4423,531,
2022-11-30,280,280,261,2914,5872,1902,395,1562,16,210,163,4429,531,
2022-12-01,281,280,261,2915,5877,1904,395,1562,16,210,163,4441,531,
2022-12-02,282,280,262,2916,5883,1905,395,1564,16,210,163,4464,531,
2022-12-03,283,280,263,2917,5886,1906,395,1572,16,210,163,4472,531,
2022-12-04,284,281,263,2922,5892,1908,395,1573,16,210,163,4479,531,
2022-12-05,285,281,264,2924,5900,1914,395,1582,16,211,163,4497,531,
2022-12-06,286,281,264,2929,5905,1915,395,1587,16,211,163,4505,592,
2022-12-07,287,281,264,2935,5909,1923,395,1601,16,211,163,4526,592,
2022-12-08,288,281,264,2937,5911,1925,395,1603,16,211,164,4528,592,
2022-12-09,289,281,264,2937,5912,1926,395,1603,16,211,164,4531,592,
2022-12-10,290,281,264,2940,5917,1927,397,1603,16,211,167,4535,592,
2022-12-11,291,281,264,2942,5920,1928,397,1613,16,211,167,4540,592,
2022-12-12,292,281,264,2966,5928,1929,397,1617,16,211,169,4544,592,
2022-12-13,293,281,264,2966,5930,1931,404,1617,16,211,170,4549,592,
2022-12-14,294,281,264,2970,5937,1931,404,1617,16,211,171,4562,592,
2022-12-15,295,281,264,2975,5946,1943,406,1644,16,211,172,4563,592,
2022-12-16,296,281,264,2980,5952,1946,410,1648,16,211,172,4563,592,
2022-12-17,297,281,264,2985,5958,1947,410,1648,16,211,174,4577,653,
2022-12-18,298,281,264,2987,5963,1948,410,1649,16,211,174,4579,653,
2022-12-19,299,281,264,2988,5969,1953,410,1657,16,212,175,4592,653,
2022-12-20,300,281,266,2995,5974,1960,410,1680,16,212,177,4599,653,
2022-12-21,301,282,267,3002,5979,1972,412,1688,16,212,178,4608,653,
2022-12-22,302,283,267,3002,5981,1978,413,1693,16,212,178,4615,653,
