date,model,launched,destroyed
2023-09-03,Shahed-136/131,25,22
2023-09-04,Shahed-136/131,32,23
2023-09-06,Shahed-136/131,25,15
2023-09-06,X-101/X-555,7,7
2023-09-06,Iskander-M,1,1
2023-09-07,Shahed-136/131,33,25
2023-09-08,Shahed-136/131,20,16
2023-09-10,Shahed-136/131,33,26
2023-09-11,Shahed-136/131,12,12
2023-09-11,Unknown UAV,1,1
2023-09-13,Shahed-136/131,44,32
2023-09-13,Shahed-136/131,22,17
2023-09-15,Shahed-136/131,17,17
2023-09-17,Shahed-136/131,6,6
2023-09-17,X-101/X-555,10,6
2023-09-18,Shahed-136/131,24,18
2023-09-18,X-101/X-555,17,17
2023-09-19,Shahed-136/131,30,27
2023-09-19,Reconnaissance UAV,1,1
2023-09-19,Iskander-M,1,0
2023-09-20,Shahed-136/131,24,17
2023-09-21,X-101/X-555,43,36
2023-09-21,C-300,6,0
2023-09-23,Shahed-136/131,15,14
2023-09-23,Orlan-10,2,2
2023-09-24,Lancet,3,3
2023-09-24,Reconnaissance UAV,4,4
2023-09-25,Shahed-136/131,19,19
2023-09-25,Kalibr,12,11
2023-09-25,P-800 Oniks,2,0
2023-09-26,Shahed-136/131,38,26
2023-09-27,Orlan-10 and ZALA and Supercam,6,6
2023-09-28,Shahed-136/131,44,34
2023-09-30,Shahed-136/131,40,30
2023-10-01,Shahed-136/131,30,16
2023-10-01,Merlin-VR,3,3
2023-10-02,Shahed-136/131,7,4
2023-10-03,Shahed-136/131,31,29
2023-10-03,Iskander-K,1,1
2023-10-05,Shahed-136/131,29,24
2023-10-06,Shahed-136/131,33,25
2023-10-10,Shahed-136/131,36,27
2023-10-11,Supercam,1,1
2023-10-12,Shahed-136/131,33,28
2023-10-15,Unknown UAV,1,1
2023-10-16,Shahed-136/131,12,11
2023-10-16,X-59,5,2
2023-10-16,Iskander-M,1,0
2023-10-17,Shahed-136/131,6,6
2023-10-17,X-59,1,1
2023-10-17,C-300,2,0
2023-10-18,Lancet,1,1
2023-10-18,Shahed-136/131,9,3
2023-10-18,X-59,1,1
2023-10-18,C-300,1,0
2023-10-18,Iskander-M,5,0
2023-10-18,Unknown Missile,1,0
2023-10-21,Lancet,3,3
2023-10-22,X-59,1,1
2023-10-22,C-300,8,0
2023-10-22,Shahed-136/131,3,3
2023-10-22,Unknown UAV,2,0
2023-10-23,X-59,1,1
2023-10-23,Shahed-136/131,13,13
2023-10-23,Unknown UAV,1,1
2023-10-24,Shahed-136/131,6,6
2023-10-24,X-59,1,1
2023-10-25,Shahed-136/131,11,11
2023-10-27,Shahed-136/131,6,5
2023-10-27,Iskander-M,1,0
2023-10-27,X-59,3,3
2023-10-27,Lancet,2,2
2023-10-28,Iskander-K,4,3
2023-10-29,Shahed-136/131,5,5
2023-10-29,X-59,1,0
2023-10-29,X-59,2,2
2023-10-29,Shahed-136/131,12,12
2023-10-29,Lancet,3,3
2023-10-29,Merlin-VR,1,1
2023-10-30,Lancet,2,2
2023-10-31,Shahed-136/131,1,1
2023-10-31,Lancet,3,3
2023-10-31,Supercam,1,1
2023-11-01,Shahed-136/131,20,18
2023-11-01,X-59,1,1
2023-11-01,X-59,2,2
2023-11-01,Orlan-10,1,1
2023-11-02,X-59,1,1
2023-11-02,Lancet,1,1
2023-11-03,Shahed-136/131,40,24
2023-11-03,X-59,1,1
2023-11-03,Lancet,1,1
2023-11-04,Shahed-136/131,2,2
2023-11-04,Iskander-K,3,3
2023-11-05,X-59,1,1
2023-11-05,Shahed-136/131,22,15
2023-11-05,X-59,1,1
2023-11-05,X-31,1,0
2023-11-05,P-800 Oniks,1,0
2023-11-05,Iskander-M,1,0
2023-11-06,Orlan-10,1,0
2023-11-06,Shahed-136/131,1,1
2023-11-09,X-59,1,1
2023-11-10,Shahed-136/131,6,5
2023-11-10,X-31,1,1
2023-11-10,X-59,1,0
2023-11-10,Merlin-VR,1,1
2023-11-10,Shahed-136/131,31,19
2023-11-10,X-31,1,0
2023-11-10,P-800 Oniks,1,0
2023-11-10,C-300,1,0
2023-11-11,Iskander-M,1,1
2023-11-12,X-59,2,1
2023-11-12,Iskander-M,1,0
2023-11-13,Orlan-10,2,2
2023-11-13,Merlin-VR,3,3
2023-11-14,Shahed-136/131,9,7
2023-11-14,Iskander-M,1,0
2023-11-14,X-35,1,0
2023-11-15,X-59,1,1
2023-11-16,Shahed-136/131,18,16
2023-11-17,Shahed-136/131,10,9
2023-11-17,Shahed-136/131,38,29
2023-11-19,Shahed-136/131,20,15
2023-11-21,Shahed-136/131,10,9
2023-11-21,C-400,4,0
2023-11-21,Iskander-K,1,1
2023-11-21,Mohajer-6,1,1
2023-11-21,Shahed-136/131,14,14
2023-11-21,X-22,1,0
2023-11-22,Shahed-136/131,2,2
2023-11-24,Shahed-136/131,3,3
2023-11-24,Orlan-10,1,1
2023-11-25,X-59,1,1
2023-11-25,Shahed-136/131,75,74
2023-11-26,Shahed-136/131,9,8
2023-11-28,Shahed-136/131,1,1
2023-11-28,Orlan-10,1,1
2023-11-28,Iskander-M,1,0
2023-11-28,Unknown UAV,1,1
2023-11-28,ZALA,1,1
2023-11-29,Shahed-136/131,21,21
2023-11-29,X-59,3,2
2023-11-30,Shahed-136/131,20,14
2023-11-30,C-300,8,0
2023-12-01,Shahed-136/131,25,18
2023-12-01,Lancet,1,1
2023-12-01,X-59,2,1
2023-12-02,Shahed-136/131,11,10
2023-12-02,X-59,1,0
2023-12-03,Shahed-136/131,12,10
2023-12-03,X-59,1,0
